MonitoringID,Year,Month,Day,rain_mm,Date_bomrainfall
BOM_087184,2020,6,25,0,25/06/2020
BOM_087184,2020,6,26,1.6,26/06/2020
BOM_087184,2020,6,27,0,27/06/2020
BOM_087184,2020,6,28,0,28/06/2020
BOM_087184,2020,6,29,0,29/06/2020
BOM_087184,2020,6,30,0.2,30/06/2020
BOM_087184,2020,7,1,0,1/07/2020
BOM_087184,2020,7,2,3,2/07/2020
BOM_087184,2020,7,3,0.2,3/07/2020
BOM_087184,2020,7,4,7.2,4/07/2020
BOM_087184,2020,7,5,0.2,5/07/2020
BOM_087184,2020,7,6,0.4,6/07/2020
BOM_087184,2020,7,7,0.4,7/07/2020
BOM_087184,2020,7,8,0.6,8/07/2020
BOM_087184,2020,7,9,0.2,9/07/2020
BOM_087184,2020,7,10,0,10/07/2020
BOM_087184,2020,7,11,0,11/07/2020
BOM_087184,2020,7,12,0.4,12/07/2020
BOM_087184,2020,7,13,0,13/07/2020
BOM_087184,2020,7,14,0,14/07/2020
BOM_087184,2020,7,15,0,15/07/2020
BOM_087184,2020,7,16,0.4,16/07/2020
BOM_087184,2020,7,17,,17/07/2020
BOM_087184,2020,7,18,0.2,18/07/2020
BOM_087184,2020,7,19,0,19/07/2020
BOM_087184,2020,7,20,3.2,20/07/2020
BOM_087184,2020,7,21,0,21/07/2020
BOM_087184,2020,7,22,0,22/07/2020
BOM_087184,2020,7,23,1.8,23/07/2020
BOM_087184,2020,7,24,0,24/07/2020
BOM_087184,2020,7,25,0,25/07/2020
BOM_087184,2020,7,26,0,26/07/2020
BOM_087184,2020,7,27,0,27/07/2020
BOM_087184,2020,7,28,0.2,28/07/2020
BOM_087184,2020,7,29,0,29/07/2020
BOM_087184,2020,7,30,0.2,30/07/2020
BOM_087184,2020,7,31,0.2,31/07/2020
BOM_087184,2020,8,1,0,1/08/2020
BOM_087184,2020,8,2,0,2/08/2020
BOM_087184,2020,8,3,0,3/08/2020
BOM_087184,2020,8,4,0.2,4/08/2020
BOM_087184,2020,8,5,13.4,5/08/2020
BOM_087184,2020,8,6,0.8,6/08/2020
BOM_087184,2020,8,7,0,7/08/2020
